Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x400-350x400,2.0,0.0,1.237,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x650-350x650,3.0,0.0,2.474,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x700-350x700,4.0,0.0,3.464,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x150-400x150,1.0,0.0,0.518,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x200-400x200,8.0,0.0,4.524,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x250-400x250,4.0,0.0,2.45,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x300-400x300,2.0,0.0,0.66,,45.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x300-400x300,2.0,0.0,1.319,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x400-400x400,1.0,0.0,0.754,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x500-400x500,3.0,0.0,2.545,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,450x200-450x200,1.0,0.0,0.689,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,450x250-450x250,2.0,0.0,1.484,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x150-500x150,1.0,0.0,0.766,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x250-500x250,3.0,0.0,2.651,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x300-500x300,1.0,0.0,0.942,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x350-500x350,3.0,0.0,3.004,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x400-500x400,3.0,0.0,3.181,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x150-550x150,1.0,0.0,0.907,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x250-550x250,1.0,0.0,1.037,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x400-550x400,4.0,0.0,4.924,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,650x350-650x350,3.0,0.0,4.595,,90.00°,0.75
M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,200x200-200x200,1.0,0.049,0.0,,,
M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,400x150-400x150,2.0,0.131,0.0,,,
M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,750x150-750x150,2.0,0.208,0.0,,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,150x300-300x150,1.0,0.287,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,200x200-200x150,1.0,0.233,0.0,Flat on Right and Left,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,200x300-300x200,1.0,0.341,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x200-200x200,1.0,0.276,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x200-300x150,1.0,0.296,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x250-200x200,1.0,0.3,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x250-200x250,1.0,0.32,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x300-200x300,1.0,0.364,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x300-300x250,1.0,0.396,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x300-450x150,1.0,0.418,0.0,Flat on Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x250-250x250,2.0,0.745,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x250-400x150,1.0,0.394,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x300-250x250,1.0,0.4,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x300-250x300,5.0,2.115,0.0,,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x350-300x250,2.0,0.909,0.0,,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x400-200x400,1.0,0.49,0.0,"Flat on Top, Bottom, Right",,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,350x300-250x300,1.0,0.453,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,350x350-350x200,2.0,0.983,0.0,"Flat on Right, Left, Bottom",,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x150-300x200,1.0,0.359,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x200-300x200,1.0,0.392,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x200-300x250,1.0,0.419,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x200-400x150,1.0,0.404,0.0,Flat on Right and Left,,
