category,quantity,rate,cost
1,1284.5529999999994,1.0,1284.5529999999994
2,0.0,2.5,0.0
3,220.42600000000002,4.0,881.7040000000001
4,119.987,5.0,599.935
5,0.0,6.0,0.0
total,2766.1919999999996,,
