category,quantity,rate,cost
1,412.6120000000002,1.0,412.6120000000002
2,0.0,2.5,0.0
3,108.74600000000001,4.0,434.98400000000004
4,9.758,5.0,48.78999999999999
5,0.0,6.0,0.0
total,896.3860000000002,,
