,Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
141,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x500-400x500,1.0,0.918 m²,0.000 m²,Flat on Top and Bottom,,
142,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,550x150-400x200,1.0,0.465 m²,0.000 m²,Equal Taper,,
143,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,550x250-500x200,2.0,1.190 m²,0.000 m²,,,
144,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,600x350-550x150,1.0,0.723 m²,0.000 m²,Equal Taper,,
145,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,600x350-650x300,3.0,2.635 m²,0.000 m²,Equal Taper,,
146,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,650x300-500x300,1.0,0.776 m²,0.000 m²,Flat on Top and Bottom,,
147,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,300x200-250x200,8.0,3.476 m²,0.000 m²,Flat on Top and Bottom,,
148,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,350x200-300x200,8.0,3.964 m²,0.000 m²,Flat on Top and Bottom,,
149,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,350x300-500x150,1.0,0.644 m²,0.000 m²,Flat on Top,,
150,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,400x200-350x200,8.0,4.452 m²,0.000 m²,Flat on Top and Bottom,,
151,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,400x300-250x250,3.0,1.792 m²,0.000 m²,Equal Taper,,
152,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,500x300-250x300,1.0,0.700 m²,0.000 m²,Equal Taper,,
153,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,500x300-400x300,1.0,0.808 m²,0.000 m²,Flat on Top and Bottom,,
154,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,500x350-300x350,1.0,0.809 m²,0.000 m²,Flat on Top and Bottom,,
155,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,550x150-400x200,1.0,0.633 m²,0.000 m²,Equal Taper,,
156,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,600x250-400x200,1.0,0.761 m²,0.000 m²,Flat on Right,,
157,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,600x350-400x200,2.0,1.730 m²,0.000 m²,Equal Taper,,
158,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,600x350-550x150,1.0,0.905 m²,0.000 m²,Equal Taper,,
159,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,600x350-650x300,1.0,1.126 m²,0.000 m²,Equal Taper,,
160,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,650x350-400x300,3.0,2.918 m²,0.000 m²,Equal Taper,,
161,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,700x400-550x400,4.0,5.081 m²,0.000 m²,"Flat on Top, Bottom, Right",,
162,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,700x450-650x300,1.0,1.314 m²,0.000 m²,Flat on Bottom,,
163,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,750x500-700x450,1.0,1.613 m²,0.000 m²,Equal Taper,,
164,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,800x400-550x400,4.0,5.439 m²,0.000 m²,"Flat on Top, Bottom, Right",,
165,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,800x400-700x400,4.0,5.936 m²,0.000 m²,"Flat on Top, Bottom, Right",,
166,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,850x200-600x250,1.0,1.045 m²,0.000 m²,Flat on Right,,
167,M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,900x300-400x350,1.0,1.148 m²,0.000 m²,Equal Taper,,
