category,quantity,rate,cost
1,1.512,1.0,1.512
2,34.086,2.5,85.215
3,91.27799999999999,4.0,365.11199999999997
4,0.0,5.0,0.0
5,0.0,6.0,0.0
total,451.83899999999994,,
