category,quantity,rate,cost
1,412.6940000000002,1,412.6940000000002
2,0,2.5,0.0
3,112.43400000000003,4,449.7360000000001
4,19.516,5,97.57999999999998
5,0,6,0.0
total,,,960.0100000000002
